video_id,comment
7jQYRdoV9RQ,"White people be like : India is Dirty ,Indian people are disgusting 

Also white people : Indian food vlog,food comparison,Indian food mukbang,Indian bridal makeup,trying Indian saree,Reacting to Indian movies,series , celebrities ,exploring India , etc etc"
7jQYRdoV9RQ,99.99% is indian Audience.🎉
7jQYRdoV9RQ,"After alll this comparison , i say i better stay in India and enjoy better flavors n taste to my buds"
7jQYRdoV9RQ,The American products have used healthier ingredients.
7jQYRdoV9RQ,I always confuse this guy with pewdipie
7jQYRdoV9RQ,Amul dark chocolate orange flavour and fruit & nut are so good and they also contain 55% cacao which is very healthy. The 70% and 90% are too bitter but suitable for health conscious people.
7jQYRdoV9RQ,You're not American are you
7jQYRdoV9RQ,U should have tried manam chocolate from Hyderabad please try it once ❤
7jQYRdoV9RQ,Thought it was PewDiePie 💀
7jQYRdoV9RQ,Poha mixed with milk sugar and bananas is my ultimate breakfast.
7jQYRdoV9RQ,"Ur  taste bud has really got into inferior products 👍 
Well all for views 😮‍💨"
7jQYRdoV9RQ,"This guy judging the product by packaging don't know about the quality products 
Sugar> coco powder 
Palm oil> vegetable oil 
Maida> wheat 
Food pharma is just his best to get aware of Indian inferior products while this kind a guys makes the people believe we have"
7jQYRdoV9RQ,I don't like Oreos. Its literally made with all Sugar! 😢
7jQYRdoV9RQ,"I don't actually like our Indian  commercial processed snacks and sweets that much. Ours are super salty, spicy, too tangy or damn sugary.  And people here don't even realise how bad it can be to our health. The sugar content in every Indian confectionary food are dangerously high! 

That's why it's always recommended to have healthy home cooked food."
7jQYRdoV9RQ,Why you look like PewDiePie?
Tdj4cbV6T3w,You Nailed it 👌
Tdj4cbV6T3w,"भारत माँ की यही पुकार,
मेक इन इंडिया, हो साकार।
उद्योगों से देश सजाएँ,
आत्मनिर्भर भारत बनाएँ।
कौशल विकास से युवा बढ़ेंगे,
नए उद्योग और काम मिलेंगे।
गाँव-शहर सब साथ चलेंगे,
मेक इन इंडिया का सपना रचेंगे।
आओ मिलकर कदम बढ़ाएँ,
मेक इन इंडिया को सफल बनाएँ।
हर घर में गूँजे यही नारा,
मेक इन इंडिया, देश हमारा।"""
Tdj4cbV6T3w,Nicely documented 🔥
